          宽和高                左上角坐标（X,Y)

1         38 ,44                  0 ，0

2         38 ,44                   39 ，0

3         38 ,44                  78 ，0

4           38 ,44                 117 ， 0

5          38 ,44                  156 ， 0

6          38 ,44                  195 ，0

7           38 ,44                 234 ， 0

8          38 ,44                273 ，0

9           38 ,44                  312 ，0

0           38 ,44                  351 ，0

:           38 ,44                    390
